Frequency (Hz)	Level (dB)
1460.449219	-137.066940
1461.914063	-137.066772
1463.378906	-137.066605
1464.843750	-137.066467
1466.308594	-137.066238
1467.773438	-137.066086
1469.238281	-137.065887
1470.703125	-137.065796
1472.167969	-137.065445
1473.632813	-137.065231
1475.097656	-137.065109
1476.562500	-137.064774
1478.027344	-137.064682
1479.492188	-137.064407
1480.957031	-137.064209
1482.421875	-137.064011
1483.886719	-137.063599
1485.351563	-137.063492
1486.816406	-137.063095
1488.281250	-137.062836
1489.746094	-137.062561
1491.210938	-137.062302
1492.675781	-137.061981
1494.140625	-137.061569
1495.605469	-137.061417
1497.070313	-137.061218
1498.535156	-137.060776
1500.000000	-137.060349
1501.464844	-137.059952
1502.929688	-137.059769
1504.394531	-137.059402
1505.859375	-137.058975
1507.324219	-137.058624
1508.789063	-137.058319
1510.253906	-137.057907
1511.718750	-137.057510
1513.183594	-137.057220
1514.648438	-137.056900
1516.113281	-137.056427
1517.578125	-137.055954
1519.042969	-137.055695
1520.507813	-137.055252
1521.972656	-137.054794
1523.437500	-137.054520
1524.902344	-137.054199
1526.367188	-137.053589
1527.832031	-137.053284
1529.296875	-137.053024
1530.761719	-137.052658
1532.226563	-137.052231
1533.691406	-137.051926
1535.156250	-137.051575
1536.621094	-137.051208
1538.085938	-137.050766
1539.550781	-137.050354
1541.015625	-137.050110
1542.480469	-137.049820
1543.945313	-137.049530
1545.410156	-137.049210
1546.875000	-137.048981
1548.339844	-137.048584
1549.804688	-137.048355
1551.269531	-137.048080
1552.734375	-137.047867
1554.199219	-137.047699
1555.664063	-137.047440
1557.128906	-137.047195
1558.593750	-137.047058
1560.058594	-137.046738
1561.523438	-137.046661
1562.988281	-137.046585
1564.453125	-137.046417
1565.917969	-137.046204
1567.382813	-137.046082
1568.847656	-137.046051
1570.312500	-137.045990
1571.777344	-137.045914
1573.242188	-137.045853
1574.707031	-137.045776
1576.171875	-137.045807
1577.636719	-137.045761
1579.101563	-137.045807
1580.566406	-137.045868
1582.031250	-137.045883
1583.496094	-137.045944
1584.960938	-137.046005
1586.425781	-137.046036
1587.890625	-137.046097
1589.355469	-137.046143
1590.820313	-137.046326
1592.285156	-137.046387
1593.750000	-137.046509
1595.214844	-137.046616
1596.679688	-137.046844
1598.144531	-137.046967
1599.609375	-137.047073
1601.074219	-137.047241
1602.539063	-137.047501
1604.003906	-137.047638
1605.468750	-137.047714
1606.933594	-137.047913
1608.398438	-137.048111
1609.863281	-137.048248
1611.328125	-137.048447
1612.792969	-137.048706
1614.257813	-137.048859
1615.722656	-137.049057
1617.187500	-137.049133
1618.652344	-137.049408
1620.117188	-137.049454
1621.582031	-137.049561
1623.046875	-137.049881
1624.511719	-137.050156
1625.976563	-137.050217
1627.441406	-137.050430
1628.906250	-137.050323
1630.371094	-137.050461
1631.835938	-137.050888
1633.300781	-137.050812
1634.765625	-137.051025
1636.230469	-137.050980
1637.695313	-137.051178
1639.160156	-137.051300
1640.625000	-137.051285
1642.089844	-137.051300
1643.554688	-137.051331
1645.019531	-137.051544
1646.484375	-137.051559
1647.949219	-137.051544
1649.414063	-137.051544
1650.878906	-137.051605
1652.343750	-137.051605
1653.808594	-137.051605
1655.273438	-137.051575
1656.738281	-137.051529
1658.203125	-137.051514
1659.667969	-137.051422
1661.132813	-137.051361
1662.597656	-137.051422
1664.062500	-137.051270
1665.527344	-137.051315
1666.992188	-137.051224
1668.457031	-137.051285
1669.921875	-137.051086
1671.386719	-137.050949
1672.851563	-137.050858
1674.316406	-137.050827
1675.781250	-137.050674
1677.246094	-137.050690
1678.710938	-137.050476
1680.175781	-137.050293
1681.640625	-137.050232
1683.105469	-137.050095
1684.570313	-137.050049
1686.035156	-137.049927
1687.500000	-137.049789
1688.964844	-137.049698
1690.429688	-137.049530
1691.894531	-137.049454
1693.359375	-137.049286
1694.824219	-137.049225
1696.289063	-137.049149
1697.753906	-137.048950
1699.218750	-137.048904
1700.683594	-137.048859
1702.148438	-137.048706
1703.613281	-137.048630
1705.078125	-137.048523
1706.542969	-137.048492
1708.007813	-137.048279
1709.472656	-137.048264
1710.937500	-137.048218
1712.402344	-137.048096
1713.867188	-137.047989
1715.332031	-137.047974
1716.796875	-137.047958
1718.261719	-137.047775
1719.726563	-137.047791
1721.191406	-137.047760
1722.656250	-137.047684
1724.121094	-137.047607
1725.585938	-137.047592
1727.050781	-137.047607
1728.515625	-137.047485
1729.980469	-137.047501
1731.445313	-137.047409
1732.910156	-137.047424
1734.375000	-137.047409
1735.839844	-137.047470
1737.304688	-137.047256
1738.769531	-137.047363
1740.234375	-137.047379
1741.699219	-137.047333
1743.164063	-137.047318
1744.628906	-137.047348
1746.093750	-137.047333
1747.558594	-137.047348
1749.023438	-137.047348
1750.488281	-137.047302
1751.953125	-137.047333
1753.417969	-137.047363
1754.882813	-137.047318
1756.347656	-137.047333
1757.812500	-137.047333
1759.277344	-137.047318
1760.742188	-137.047272
1762.207031	-137.047302
1763.671875	-137.047348
1765.136719	-137.047379
1766.601563	-137.047333
1768.066406	-137.047333
1769.531250	-137.047256
1770.996094	-137.047241
1772.460938	-137.047287
1773.925781	-137.047287
1775.390625	-137.047287
1776.855469	-137.047119
1778.320313	-137.047226
1779.785156	-137.047150
1781.250000	-137.047058
